nameWithOwner,stargazers,pullRequests,mergeCommitAllowed
freeCodeCamp/freeCodeCamp,{'totalCount': 314707},{'totalCount': 13121},False
996icu/996.ICU,{'totalCount': 251588},{'totalCount': 1020},True
vuejs/vue,{'totalCount': 172040},{'totalCount': 974},False
EbookFoundation/free-programming-books,{'totalCount': 159510},{'totalCount': 2576},False
facebook/react,{'totalCount': 155904},{'totalCount': 7027},False
tensorflow/tensorflow,{'totalCount': 148398},{'totalCount': 10453},True
twbs/bootstrap,{'totalCount': 144100},{'totalCount': 6037},True
sindresorhus/awesome,{'totalCount': 140918},{'totalCount': 493},False
jwasham/coding-interview-university,{'totalCount': 134624},{'totalCount': 183},True
getify/You-Dont-Know-JS,{'totalCount': 127392},{'totalCount': 349},True
kamranahmedse/developer-roadmap,{'totalCount': 125617},{'totalCount': 57},True
ohmyzsh/ohmyzsh,{'totalCount': 116204},{'totalCount': 2308},True
CyC2018/CS-Notes,{'totalCount': 110970},{'totalCount': 361},True
github/gitignore,{'totalCount': 107834},{'totalCount': 1414},True
donnemartin/system-design-primer,{'totalCount': 106806},{'totalCount': 183},True
microsoft/vscode,{'totalCount': 103210},{'totalCount': 5655},True
flutter/flutter,{'totalCount': 101416},{'totalCount': 16347},False
airbnb/javascript,{'totalCount': 99654},{'totalCount': 740},True
torvalds/linux,{'totalCount': 97452},{'totalCount': 9},True
public-apis/public-apis,{'totalCount': 96232},{'totalCount': 785},True
d3/d3,{'totalCount': 93693},{'totalCount': 435},True
jackfrued/Python-100-Days,{'totalCount': 92648},{'totalCount': 12},True
facebook/react-native,{'totalCount': 90098},{'totalCount': 614},True
Snailclimb/JavaGuide,{'totalCount': 88060},{'totalCount': 321},True
vinta/awesome-python,{'totalCount': 86637},{'totalCount': 504},True
electron/electron,{'totalCount': 85784},{'totalCount': 10004},False
TheAlgorithms/Python,{'totalCount': 85478},{'totalCount': 1147},False
danistefanovic/build-your-own-x,{'totalCount': 82262},{'totalCount': 82},True
facebook/create-react-app,{'totalCount': 81869},{'totalCount': 1799},True
trekhleb/javascript-algorithms,{'totalCount': 80898},{'totalCount': 156},True
jlevy/the-art-of-command-line,{'totalCount': 80318},{'totalCount': 303},True
axios/axios,{'totalCount': 76995},{'totalCount': 351},False
golang/go,{'totalCount': 76543},{'totalCount': 0},True
nodejs/node,{'totalCount': 72979},{'totalCount': 2487},False
ytdl-org/youtube-dl,{'totalCount': 70774},{'totalCount': 1427},True
kubernetes/kubernetes,{'totalCount': 70036},{'totalCount': 44444},True
justjavac/free-programming-books-zh_CN,{'totalCount': 69838},{'totalCount': 268},True
animate-css/animate.css,{'totalCount': 67879},{'totalCount': 168},True
microsoft/terminal,{'totalCount': 67845},{'totalCount': 1350},False
denoland/deno,{'totalCount': 67317},{'totalCount': 3361},False
tensorflow/models,{'totalCount': 66100},{'totalCount': 2090},False
angular/angular,{'totalCount': 65979},{'totalCount': 2921},False
ossu/computer-science,{'totalCount': 65746},{'totalCount': 169},True
puppeteer/puppeteer,{'totalCount': 65116},{'totalCount': 1702},False
microsoft/TypeScript,{'totalCount': 64323},{'totalCount': 9877},True
FortAwesome/Font-Awesome,{'totalCount': 63904},{'totalCount': 179},True
mrdoob/three.js,{'totalCount': 63404},{'totalCount': 7579},True
ant-design/ant-design,{'totalCount': 63357},{'totalCount': 6290},True
labuladong/fucking-algorithm,{'totalCount': 61786},{'totalCount': 118},True
30-seconds/30-seconds-of-code,{'totalCount': 61735},{'totalCount': 668},True
laravel/laravel,{'totalCount': 61446},{'totalCount': 1251},True
mui-org/material-ui,{'totalCount': 60981},{'totalCount': 8698},False
iluwatar/java-design-patterns,{'totalCount': 60545},{'totalCount': 624},True
PanJiaChen/vue-element-admin,{'totalCount': 59757},{'totalCount': 313},True
angular/angular.js,{'totalCount': 59509},{'totalCount': 783},False
MisterBooo/LeetCodeAnimation,{'totalCount': 59214},{'totalCount': 61},True
moby/moby,{'totalCount': 58051},{'totalCount': 16427},True
avelino/awesome-go,{'totalCount': 57443},{'totalCount': 2181},False
vuejs/awesome-vue,{'totalCount': 56354},{'totalCount': 2948},True
webpack/webpack,{'totalCount': 55595},{'totalCount': 3109},True
nvbn/thefuck,{'totalCount': 55476},{'totalCount': 416},True
reduxjs/redux,{'totalCount': 54296},{'totalCount': 1325},True
jquery/jquery,{'totalCount': 53962},{'totalCount': 488},False
apple/swift,{'totalCount': 53459},{'totalCount': 29667},True
storybookjs/storybook,{'totalCount': 53439},{'totalCount': 4779},True
vercel/next.js,{'totalCount': 53235},{'totalCount': 5289},False
hakimel/reveal.js,{'totalCount': 53081},{'totalCount': 338},True
atom/atom,{'totalCount': 52991},{'totalCount': 3633},True
goldbergyoni/nodebestpractices,{'totalCount': 52386},{'totalCount': 462},True
pallets/flask,{'totalCount': 52011},{'totalCount': 1077},True
django/django,{'totalCount': 51974},{'totalCount': 5878},False
elastic/elasticsearch,{'totalCount': 51034},{'totalCount': 30785},False
socketio/socket.io,{'totalCount': 50669},{'totalCount': 376},True
tonsky/FiraCode,{'totalCount': 50536},{'totalCount': 94},False
spring-projects/spring-boot,{'totalCount': 50495},{'totalCount': 41},True
shadowsocks/shadowsocks-windows,{'totalCount': 50435},{'totalCount': 221},True
chartjs/Chart.js,{'totalCount': 50277},{'totalCount': 1731},False
expressjs/express,{'totalCount': 50102},{'totalCount': 210},False
keras-team/keras,{'totalCount': 49739},{'totalCount': 2403},False
typicode/json-server,{'totalCount': 49520},{'totalCount': 92},True
chrislgarry/Apollo-11,{'totalCount': 49005},{'totalCount': 245},True
Semantic-Org/Semantic-UI,{'totalCount': 48450},{'totalCount': 351},True
awesome-selfhosted/awesome-selfhosted,{'totalCount': 48439},{'totalCount': 1358},True
netdata/netdata,{'totalCount': 48388},{'totalCount': 3690},False
opencv/opencv,{'totalCount': 48281},{'totalCount': 8948},True
rust-lang/rust,{'totalCount': 48238},{'totalCount': 30369},True
adam-p/markdown-here,{'totalCount': 48202},{'totalCount': 20},True
httpie/httpie,{'totalCount': 48062},{'totalCount': 128},True
kdn251/interviews,{'totalCount': 47653},{'totalCount': 42},True
xingshaocheng/architect-awesome,{'totalCount': 47415},{'totalCount': 49},True
doocs/advanced-java,{'totalCount': 47291},{'totalCount': 56},True
ElemeFE/element,{'totalCount': 47241},{'totalCount': 3063},True
gatsbyjs/gatsby,{'totalCount': 46878},{'totalCount': 12826},False
gothinkster/realworld,{'totalCount': 46790},{'totalCount': 133},True
h5bp/html5-boilerplate,{'totalCount': 46759},{'totalCount': 391},True
