nameWithOwner,createdAt,stargazers,releases
freeCodeCamp/freeCodeCamp,2014-12-24T17:49:19Z,{'totalCount': 314707},"{'totalCount': 0, 'nodes': []}"
996icu/996.ICU,2019-03-26T07:31:14Z,{'totalCount': 251589},"{'totalCount': 0, 'nodes': []}"
vuejs/vue,2013-07-29T03:24:51Z,{'totalCount': 172042},"{'totalCount': 208, 'nodes': [{'createdAt': '2019-02-05T03:52:46Z'}, {'createdAt': '2019-02-06T21:52:10Z'}, {'createdAt': '2019-02-08T21:44:53Z'}, {'createdAt': '2019-02-11T05:14:36Z'}, {'createdAt': '2019-02-12T04:20:11Z'}, {'createdAt': '2019-02-21T22:06:23Z'}, {'createdAt': '2019-03-01T15:03:39Z'}, {'createdAt': '2019-03-20T06:26:45Z'}, {'createdAt': '2019-03-14T09:02:05Z'}, {'createdAt': '2019-12-13T19:58:42Z'}]}"
EbookFoundation/free-programming-books,2013-10-11T06:50:37Z,{'totalCount': 159511},"{'totalCount': 0, 'nodes': []}"
facebook/react,2013-05-24T16:15:54Z,{'totalCount': 155908},"{'totalCount': 90, 'nodes': [{'createdAt': '2019-04-03T17:38:01Z'}, {'createdAt': '2019-08-05T22:19:41Z'}, {'createdAt': '2019-08-08T21:10:58Z'}, {'createdAt': '2019-09-27T20:30:53Z'}, {'createdAt': '2019-09-28T18:19:51Z'}, {'createdAt': '2019-10-03T21:17:21Z'}, {'createdAt': '2019-10-22T21:32:41Z'}, {'createdAt': '2019-11-15T00:05:24Z'}, {'createdAt': '2020-02-26T20:33:29Z'}, {'createdAt': '2020-03-19T20:02:31Z'}]}"
tensorflow/tensorflow,2015-11-07T01:19:20Z,{'totalCount': 148400},"{'totalCount': 112, 'nodes': [{'createdAt': '2020-04-10T22:59:49Z'}, {'createdAt': '2020-04-29T17:43:22Z'}, {'createdAt': '2020-05-05T21:58:49Z'}, {'createdAt': '2020-05-14T22:21:31Z'}, {'createdAt': '2020-05-12T19:46:23Z'}, {'createdAt': '2020-05-14T02:17:30Z'}, {'createdAt': '2020-06-26T04:41:11Z'}, {'createdAt': '2020-07-08T19:51:39Z'}, {'createdAt': '2020-07-17T19:45:59Z'}, {'createdAt': '2020-07-24T00:09:13Z'}]}"
twbs/bootstrap,2011-07-29T21:19:00Z,{'totalCount': 144101},"{'totalCount': 61, 'nodes': [{'createdAt': '2018-12-21T18:55:28Z'}, {'createdAt': '2019-02-11T19:15:34Z'}, {'createdAt': '2019-02-13T15:55:38Z'}, {'createdAt': '2019-02-13T16:01:40Z'}, {'createdAt': '2019-11-26T17:12:00Z'}, {'createdAt': '2019-11-28T12:59:49Z'}, {'createdAt': '2020-05-12T17:44:42Z'}, {'createdAt': '2020-06-16T19:12:01Z'}, {'createdAt': '2020-08-04T16:24:33Z'}, {'createdAt': '2020-08-06T16:22:43Z'}]}"
sindresorhus/awesome,2014-07-11T13:42:37Z,{'totalCount': 140920},"{'totalCount': 0, 'nodes': []}"
jwasham/coding-interview-university,2016-06-06T02:34:12Z,{'totalCount': 134626},"{'totalCount': 0, 'nodes': []}"
getify/You-Dont-Know-JS,2013-11-16T02:37:24Z,{'totalCount': 127392},"{'totalCount': 0, 'nodes': []}"
kamranahmedse/developer-roadmap,2017-03-15T13:45:52Z,{'totalCount': 125620},"{'totalCount': 3, 'nodes': [{'createdAt': '2017-11-28T04:21:36Z'}, {'createdAt': '2018-11-29T06:25:13Z'}, {'createdAt': '2020-01-04T08:21:49Z'}]}"
ohmyzsh/ohmyzsh,2009-08-28T18:15:37Z,{'totalCount': 116204},"{'totalCount': 0, 'nodes': []}"
CyC2018/CS-Notes,2018-02-13T14:56:24Z,{'totalCount': 110972},"{'totalCount': 0, 'nodes': []}"
github/gitignore,2010-11-08T20:17:14Z,{'totalCount': 107834},"{'totalCount': 0, 'nodes': []}"
donnemartin/system-design-primer,2017-02-26T16:15:28Z,{'totalCount': 106806},"{'totalCount': 0, 'nodes': []}"
microsoft/vscode,2015-09-03T20:23:38Z,{'totalCount': 103212},"{'totalCount': 15, 'nodes': [{'createdAt': '2020-06-09T17:02:22Z'}, {'createdAt': '2020-06-17T20:06:31Z'}, {'createdAt': '2020-07-08T08:51:14Z'}, {'createdAt': '2020-07-13T22:10:22Z'}, {'createdAt': '2020-07-15T16:15:21Z'}, {'createdAt': '2020-07-21T14:27:11Z'}, {'createdAt': '2020-08-11T22:43:16Z'}, {'createdAt': '2020-08-19T16:42:26Z'}, {'createdAt': '2020-08-25T09:40:01Z'}, {'createdAt': '2020-09-09T07:40:32Z'}]}"
flutter/flutter,2015-03-06T22:54:58Z,{'totalCount': 101417},"{'totalCount': 0, 'nodes': []}"
airbnb/javascript,2012-11-01T23:13:50Z,{'totalCount': 99655},"{'totalCount': 0, 'nodes': []}"
torvalds/linux,2011-09-04T22:48:12Z,{'totalCount': 97452},"{'totalCount': 0, 'nodes': []}"
public-apis/public-apis,2016-03-20T23:49:42Z,{'totalCount': 96234},"{'totalCount': 0, 'nodes': []}"
d3/d3,2010-09-27T17:22:42Z,{'totalCount': 93693},"{'totalCount': 158, 'nodes': [{'createdAt': '2019-11-16T20:59:39Z'}, {'createdAt': '2019-11-17T16:16:23Z'}, {'createdAt': '2019-11-17T22:50:51Z'}, {'createdAt': '2019-11-20T15:32:23Z'}, {'createdAt': '2019-12-29T16:50:50Z'}, {'createdAt': '2020-04-01T19:24:40Z'}, {'createdAt': '2020-04-20T17:58:56Z'}, {'createdAt': '2020-08-26T22:25:41Z'}, {'createdAt': '2020-08-29T19:54:00Z'}, {'createdAt': '2020-08-31T15:29:19Z'}]}"
jackfrued/Python-100-Days,2018-03-01T16:05:52Z,{'totalCount': 92649},"{'totalCount': 0, 'nodes': []}"
facebook/react-native,2015-01-09T18:10:16Z,{'totalCount': 90099},"{'totalCount': 147, 'nodes': [{'createdAt': '2020-02-25T19:55:05Z'}, {'createdAt': '2020-03-06T18:48:13Z'}, {'createdAt': '2020-03-07T15:01:54Z'}, {'createdAt': '2020-03-26T17:03:15Z'}, {'createdAt': '2020-04-03T15:09:15Z'}, {'createdAt': '2020-04-08T17:01:02Z'}, {'createdAt': '2020-05-04T21:12:33Z'}, {'createdAt': '2020-07-08T18:26:50Z'}, {'createdAt': '2020-07-14T20:47:14Z'}, {'createdAt': '2020-07-22T09:24:48Z'}]}"
Snailclimb/JavaGuide,2018-05-07T13:27:00Z,{'totalCount': 88062},"{'totalCount': 0, 'nodes': []}"
vinta/awesome-python,2014-06-27T21:00:06Z,{'totalCount': 86637},"{'totalCount': 0, 'nodes': []}"
electron/electron,2013-04-12T01:47:36Z,{'totalCount': 85785},"{'totalCount': 618, 'nodes': [{'createdAt': '2020-09-01T02:50:30Z'}, {'createdAt': '2020-09-02T21:23:16Z'}, {'createdAt': '2020-09-03T01:08:37Z'}, {'createdAt': '2020-09-03T15:01:57Z'}, {'createdAt': '2020-09-07T15:01:23Z'}, {'createdAt': '2020-09-10T15:02:39Z'}, {'createdAt': '2020-09-14T15:03:08Z'}, {'createdAt': '2020-09-14T19:53:55Z'}, {'createdAt': '2020-09-14T20:10:46Z'}, {'createdAt': '2020-09-15T22:06:28Z'}]}"
TheAlgorithms/Python,2016-07-16T09:44:01Z,{'totalCount': 85480},"{'totalCount': 0, 'nodes': []}"
danistefanovic/build-your-own-x,2018-05-09T12:03:18Z,{'totalCount': 82263},"{'totalCount': 0, 'nodes': []}"
facebook/create-react-app,2016-07-17T14:55:11Z,{'totalCount': 81869},"{'totalCount': 74, 'nodes': [{'createdAt': '2019-04-22T18:50:29Z'}, {'createdAt': '2019-05-08T15:36:40Z'}, {'createdAt': '2019-08-09T22:37:31Z'}, {'createdAt': '2019-08-13T19:41:52Z'}, {'createdAt': '2019-09-19T17:47:56Z'}, {'createdAt': '2019-10-03T04:18:22Z'}, {'createdAt': '2019-12-05T00:05:06Z'}, {'createdAt': '2020-01-31T04:05:43Z'}, {'createdAt': '2020-02-14T18:45:24Z'}, {'createdAt': '2020-03-21T00:00:15Z'}]}"
trekhleb/javascript-algorithms,2018-03-24T07:47:04Z,{'totalCount': 80898},"{'totalCount': 0, 'nodes': []}"
jlevy/the-art-of-command-line,2015-05-20T15:11:03Z,{'totalCount': 80318},"{'totalCount': 0, 'nodes': []}"
